Country,Code,C00,C05,C10,C15,C20,C25,C30,C35,C40,C45,C50,C55,C60,C65,C70,C75,C80
Chile,CHL,6,6.38,6.25,6.45,7.52,8.39,8.19,7.45,6.98,6.67,6.4,5.87,5.09,4.18,3.13,2.12,2.96
China,CHN,5.68,6.34,5.99,5.56,5.78,6.95,8.59,7.32,6.53,8.18,8.37,6.83,5.24,5.07,3.26,2.03,2.27
Colombia,COL,7.21,7.24,7.48,8.17,8.72,8.8,8.24,7.53,6.71,6,5.8,5.32,4.3,3.25,2.28,1.5,1.43
Comoros,COM,14.01,13.05,11.4,9.89,9.12,7.94,6.93,5.97,4.86,4.04,3.48,2.88,2.08,1.71,1.2,0.84,0.58
Congo DRep,COD,18.52,15.39,12.59,10.33,8.74,7.25,5.98,4.77,3.76,3.2,2.68,2.14,1.66,1.22,0.87,0.54,0.36
Congo Rep.,COG,14.77,14.44,12.46,10,8.25,7.24,6.75,6.06,5.28,4.29,3.43,2.57,1.81,1.16,0.73,0.42,0.33
Costa Rica,CRI,6.59,7.06,7.24,7.31,7.84,8.21,8.38,7.82,6.9,6.13,5.94,5.67,4.69,3.57,2.71,1.88,2.05
Cote d'Ivoire,CIV,15.43,13.99,12.7,11.17,9.42,7.7,6.34,5.75,5.02,3.83,2.82,2,1.42,1.02,0.64,0.4,0.35
Croatia,HRV,4.47,4.78,4.97,4.84,5.81,5.86,6.26,6.89,6.85,6.57,6.81,7.13,7.29,6.67,5.25,3.9,5.67
Cuba,CUB,5.05,5.54,5.28,5.84,6.25,6.55,7.18,6.07,5.97,8.31,8.77,8.18,5.46,4.79,4,3.04,3.71
Curacao,CUW,5.35,5.95,6.46,7.2,7.9,8.47,6.55,6,5.69,6.29,6.67,7.09,6.23,5.12,4.03,2.66,2.32
Cyprus,CYP,5.43,5.45,5.12,5.13,5.93,7.74,9.45,9.07,7.83,6.85,6.49,5.95,5.4,4.43,3.72,2.75,3.26
Czechia,CZE,5.29,5.26,5.42,4.57,4.57,5.97,6.58,6.98,8.48,7.98,6.49,6.19,6.09,6.39,5.74,3.85,4.14
Denmark,DNK,5.27,5.19,5.8,5.89,6.48,6.86,6.22,5.62,6.16,6.75,7,6.78,5.93,5.49,5.51,4.27,4.77
Djibouti,DJI,10.63,10.27,10.3,10.44,9.27,8.54,7.61,6.83,6.27,5.39,4.28,3.28,2.44,1.78,1.34,0.79,0.55
Dominica,DMA,6.4,6.43,7.29,8.03,8.81,9.26,7.79,7.1,5.84,6.61,6.81,5.8,4.65,3.29,2.4,1.71,1.76
Dominican Republic,DOM,9.29,9.34,8.99,8.9,8.68,8.44,7.66,6.96,6.28,5.55,4.95,4.42,3.58,2.59,1.75,1.15,1.48
Ecuador,ECU,8.5,8.98,9.01,8.91,8.96,8.65,8.07,7.23,6.3,5.51,4.84,4.12,3.38,2.72,1.98,1.37,1.48
Egypt,EGY,11.68,11.72,9.81,8.84,8.26,8.04,7.98,7.16,6.07,5.02,4.31,3.59,2.8,2.01,1.39,0.72,0.6
El Salvador,SLV,8.24,8.94,8.99,9.68,10.58,9.33,7.18,6.05,5.86,5.25,4.68,3.91,3.24,2.68,2.1,1.54,1.74
Equatorial Guinea,GNQ,14.3,13.02,11.65,8.1,7.96,8.62,8.73,6.9,5.25,4.27,3.34,2.84,1.84,1.45,0.8,0.52,0.43
Eritrea,ERI,13.58,13.56,13.29,11.79,9.82,7.21,5.81,5.02,4.33,3.79,3.2,2.59,2,1.47,1.19,0.78,0.55
Estonia,EST,5.37,5.45,5.72,4.82,4.75,5.96,7.66,7.24,6.89,6.91,6.38,6.51,6.42,5.84,4.8,3.51,5.76
Eswatini,SWZ,11.99,11.98,11.47,10.28,9.12,9.29,8.36,6.84,4.98,3.73,3.16,2.68,2.18,1.72,1.13,0.63,0.47
Ethiopia,ETH,14.83,13.12,12.35,11.25,9.85,8.38,6.89,5.3,4.37,3.52,2.94,2.33,1.73,1.28,0.91,0.55,0.38
Faroe Islands,FRO,6.92,6.78,7,7.01,5.74,5.74,6.27,5.79,6.06,6.3,6.62,6.18,5.74,5.13,4.65,3.59,4.48
Fiji,FJI,9.87,9.83,9.49,8.53,8.1,8.17,7.83,7.61,6.6,5.2,4.94,4.57,3.72,2.43,1.55,0.91,0.65
Finland,FIN,4.55,5.49,5.62,5.38,5.63,6.41,6.39,6.55,6.29,5.72,6.36,6.66,6.48,6.43,6.36,4.02,5.66
France,FRA,5.39,5.99,6.2,6.08,5.64,5.46,5.99,6.29,6.19,6.73,6.54,6.45,6.11,5.85,5.43,3.4,6.26
French Polynesia,PYF,6.74,7.49,7.88,7.62,7.07,7.55,8.03,7.94,6.51,6.61,6.6,6,4.72,3.37,2.45,1.78,1.64
Gabon,GAB,13.34,12.55,10.65,9.14,8.38,8.38,8.05,7.08,5.76,4.52,3.5,2.7,2.04,1.52,1.07,0.68,0.64
Gambia,GMB,15.9,14.91,13.12,10.93,9.04,7.52,6.26,5.23,4.37,3.63,2.93,2.22,1.5,0.94,0.67,0.47,0.37
Georgia,GEO,7.21,7.34,6.47,5.57,5.86,6.87,7.57,7.04,6.51,6.29,6.11,6.74,6.12,4.97,3.58,2.27,3.49
