id,name,land,eligible,valid1,valid,participation1,participation,CDU1_votes,CDU_votes,SPD1_votes,SPD_votes,AfD1_votes,AfD_votes,FDP1_votes,FDP_votes,LINKE1_votes,LINKE_votes,GRUENE1_votes,GRUENE_votes,PIRATEN1_votes,PIRATEN_votes,CDU1,CDU,SPD1,SPD,AfD1,AfD,FDP1,FDP,LINKE1,LINKE,GRUENE1,GRUENE,PIRATEN1,PIRATEN,Other1,Other
282,Lörrach – Müllheim,BW,231076,172344,172569,74.58,74.68,43509,38501,37496,41834,13981,14195,24430,24669,4580,5532,35558,32817,1009,734,25.25,22.31,21.76,24.24,8.11,8.23,14.18,14.30,2.66,3.21,20.63,19.02,0.59,0.43,6.84,8.28
283,Emmendingen – Lahr,BW,218872,166655,166572,76.14,76.10,46406,41323,46316,39727,14396,14971,16620,22136,4921,5209,23345,28724,,568,27.85,24.81,27.79,23.85,8.64,8.99,9.97,13.29,2.95,3.13,14.01,17.24,0.00,0.34,8.79,8.35
284,Offenburg,BW,205893,155153,155200,75.36,75.38,54148,40210,29003,33043,13876,15320,16692,22799,4254,4423,21717,23083,,580,34.90,25.91,18.69,21.29,8.94,9.87,10.76,14.69,2.74,2.85,14.00,14.87,0.00,0.37,9.97,10.14
285,Rottweil – Tuttlingen,BW,198182,147838,147813,74.60,74.58,46535,40818,23989,27523,20293,19747,24784,26768,3177,3320,18184,16036,,549,31.48,27.61,16.23,18.62,13.73,13.36,16.76,18.11,2.15,2.25,12.30,10.85,0.00,0.37,7.36,8.83
286,Schwarzwald-Baar,BW,162800,121492,121522,74.63,74.64,44188,32309,21996,25814,12795,13097,16747,19696,2757,3062,14692,16181,,442,36.37,26.59,18.10,21.24,10.53,10.78,13.78,16.21,2.27,2.52,12.09,13.32,0.00,0.36,6.85,8.99
287,Konstanz,BW,206009,156286,156400,75.86,75.92,53362,36209,31486,32657,13487,13341,17047,23509,5591,5804,28142,32913,,546,34.14,23.15,20.15,20.88,8.63,8.53,10.91,15.03,3.58,3.71,18.01,21.04,0.00,0.35,4.59,7.30
288,Waldshut,BW,177275,134877,135022,76.08,76.17,45335,35595,34449,30782,11420,11265,10217,18422,3606,3895,20679,23294,,471,33.61,26.36,25.54,22.80,8.47,8.34,7.58,13.64,2.67,2.88,15.33,17.25,0.00,0.35,6.80,8.37
289,Reutlingen,BW,199189,152477,152575,76.55,76.60,49631,39504,27236,31535,15356,15652,20411,25288,6169,5081,25399,24197,,552,32.55,25.89,17.86,20.67,10.07,10.26,13.39,16.57,4.05,3.33,16.66,15.86,0.00,0.36,5.43,7.06
290,Tübingen,BW,198791,159628,159781,80.30,80.38,43024,34775,28982,32576,12484,12548,15059,22678,7526,8231,40978,37424,,532,26.95,21.76,18.16,20.39,7.82,7.85,9.43,14.19,4.71,5.15,25.67,23.42,0.00,0.33,7.25,6.90
291,Ulm,BW,223376,175998,176165,78.79,78.86,57608,46805,32176,36418,15932,16046,19745,25389,4604,5377,33012,31238,1669,914,32.73,26.57,18.28,20.67,9.05,9.11,11.22,14.41,2.62,3.05,18.76,17.73,0.95,0.52,6.39,7.93
292,Biberach,BW,169147,132171,132230,78.14,78.17,46458,40472,24567,23152,13469,14308,13045,19163,2064,2967,17912,18070,760,559,35.15,30.61,18.59,17.51,10.19,10.82,9.87,14.49,1.56,2.24,13.55,13.67,0.58,0.42,10.51,10.24
293,Bodensee,BW,174430,136755,136848,78.40,78.45,41624,36571,28501,26989,12584,11916,16751,21611,3705,3905,23385,23635,,490,30.44,26.72,20.84,19.72,9.20,8.71,12.25,15.79,2.71,2.85,17.10,17.27,0.00,0.36,7.46,8.57
294,Ravensburg,BW,187817,145940,145978,77.70,77.72,44597,38927,20128,27750,11727,12650,20934,21740,4365,4735,30743,25536,,536,30.56,26.67,13.79,19.01,8.04,8.67,14.34,14.89,2.99,3.24,21.07,17.49,0.00,0.37,9.21,9.66
295,Zollernalb – Sigmaringen,BW,182648,136396,136540,74.68,74.76,41106,39332,24970,26716,15554,16477,18678,23200,2848,3540,23118,15503,,510,30.14,28.81,18.31,19.57,11.40,12.07,13.69,16.99,2.09,2.59,16.95,11.35,0.00,0.37,7.42,8.25
296,Saarbrücken,SL,192929,140398,140474,72.77,72.81,35252,28797,51749,53537,12569,13006,11647,16438,8711,13484,11143,,,1009,25.11,20.50,36.86,38.11,8.95,9.26,8.30,11.70,6.20,9.60,7.94,0.00,0.00,0.72,6.64,10.11
297,Saarlouis,SL,203279,156123,156279,76.80,76.88,43671,38085,57354,56920,15111,15651,12777,18872,8405,10512,7383,,,860,27.97,24.37,36.74,36.42,9.68,10.01,8.18,12.08,5.38,6.73,4.73,0.00,0.00,0.55,7.32,9.84
298,St. Wendel,SL,173074,136980,137032,79.15,79.18,43928,36248,48135,51229,12346,12904,11354,14916,5783,7887,5739,,,741,32.07,26.45,35.14,37.38,9.01,9.42,8.29,10.89,4.22,5.76,4.19,0.00,0.00,0.54,7.08,9.56
299,Homburg,SL,185941,139612,139883,75.08,75.23,36472,32004,51091,52091,16210,16068,11015,15719,7312,9247,6826,,,809,26.12,22.88,36.59,37.24,11.61,11.49,7.89,11.24,5.24,6.61,4.89,0.00,0.00,0.58,7.65,9.97
